u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bridge,access,tunnel,junction
54891569,65283387,0,145486759,FALSE,,,Bridgeview Way,residential,,206.746,"LINESTRING (-122.3876163 37.7689303, -122.3876242 37.7690143, -122.3876261 37.7690321, -122.387706 37.7698862, -122.3877472 37.7703161, -122.3877859 37.7707207, -122.3877866 37.7707358, -122.387792 37.7707844)",,,,
54891569,302034224,0,"[681496213, 681496214, 681496215]",FALSE,"['2', '4']",,Warriors Way,residential,,138.801,"LINESTRING (-122.3876163 37.7689303, -122.3877164 37.7689246, -122.3877462 37.7689228, -122.3884074 37.7688831, -122.3887267 37.7688639, -122.3890799 37.7688427, -122.3891277 37.7688398, -122.3891909 37.768836)",,,,
65279851,65279852,0,8914958,TRUE,,,Vandewater Street,residential,,147.026,"LINESTRING (-122.4118788 37.8053702, -122.413529 37.8051503)",,,,
65279851,65296808,0,30030485,FALSE,,,Powell Street,residential,25 mph,52.161,"LINESTRING (-122.4118788 37.8053702, -122.4119489 37.8057196, -122.4119542 37.8057458, -122.4119718 37.8058335)",,,,
65279851,65303257,0,30030485,FALSE,,,Powell Street,residential,25 mph,53.63,"LINESTRING (-122.4118788 37.8053702, -122.4118168 37.8050628, -122.4117828 37.8048939)",,,,
65279852,65296810,0,399163469,FALSE,,,Mason Street,residential,,53.765,"LINESTRING (-122.413529 37.8051503, -122.4136041 37.8055468, -122.4136195 37.8056285)",,,,
65279852,65303259,0,399163469,FALSE,,,Mason Street,residential,,52.592,"LINESTRING (-122.413529 37.8051503, -122.413451 37.8047653, -122.4134294 37.804684)",,,,
65281061,65284950,0,"[754401923, 754401924, 754401925, 31560837, 8915415]",TRUE,"['2', '4', '3']",,,motorway_link,50 mph,367.278,"LINESTRING (-122.4016133 37.7778393, -122.4011665 37.778025, -122.400968 37.7781225, -122.4007783 37.7782319, -122.400508 37.7784091, -122.3995408 37.7790816, -122.3993423 37.7792179, -122.3991491 37.7793294, -122.3990633 37.7793715, -122.3989775 37.7794136, -122.3988419 37.7794637, -122.3986966 37.7794991, -122.3985469 37.7795279, -122.3983958 37.7795426, -122.3982433 37.7795388, -122.398144 37.7795221)",yes,,,
65281061,65371963,0,"[859701761, 394443187, 394443189]",TRUE,3,I 80,James Lick Freeway,motorway,50 mph,835.226,"LINESTRING (-122.4016133 37.7778393, -122.401384 37.7779633, -122.4011549 37.7780983, -122.4009167 37.7782465, -122.4006633 37.7784172, -122.4004203 37.7785946, -122.4001649 37.7787924, -122.3999275 37.7789881, -122.3996735 37.7792096, -122.3993275 37.7795015, -122.3980961 37.7805395, -122.3966499 37.7817777, -122.3959273 37.7824022, -122.3950027 37.7832173)",yes,,,
65281097,65284950,0,"[771754860, 706547164, 186400365]",TRUE,5,,Bryant Street,secondary,25 mph,269.861,"LINESTRING (-122.400313 37.7778043, -122.3999749 37.7780722, -122.3990424 37.7788103, -122.3984641 37.779268, -122.3982569 37.7794301, -122.3982332 37.7794492, -122.398144 37.7795221)",,,,
65281097,65371963,0,"[28825281, 26779600, 839813777, 394443195, 394443196]",TRUE,"['1', '2', '3']",,,motorway_link,50 mph,792.012,"LINESTRING (-122.400313 37.7778043, -122.4003242 37.7781274, -122.4003353 37.7784066, -122.400346 37.7786775, -122.4003418 37.7787142, -122.4003331 37.7787907, -122.4003028 37.7788948, -122.4002411 37.7790002, -122.4001431 37.779115, -122.399863 37.7793537, -122.399163 37.7799221, -122.3983206 37.7805992, -122.3963055 37.7821847, -122.3959581 37.7824486, -122.3950027 37.7832173)",yes,,,
65281097,65315481,0,"[162931811, 406946350]",FALSE,"['4', '5']",,5th Street,tertiary,,192.65,"LINESTRING (-122.400313 37.7778043, -122.399889 37.7774636, -122.3998293 37.7774186, -122.399767 37.7773689, -122.3996708 37.7772922, -122.3995349 37.7771839, -122.3987697 37.776574)",,,,
65281097,65281916,0,"[397127920, 143617593, 706547162, 417396806]",FALSE,4,,5th Street,secondary,,192.744,"LINESTRING (-122.400313 37.7778043, -122.4007609 37.778161, -122.4008428 37.7782263, -122.4011173 37.7784451, -122.4011382 37.7784618, -122.4013208 37.7786073, -122.401857 37.7790353)",,,,
65281164,601217544,0,44670366,FALSE,,,Laguna Street,residential,,51.252,"LINESTRING (-122.4259102 37.7746045, -122.4259293 37.7746994, -122.4260018 37.7750597)",,,,
65281164,65304903,0,44670366,FALSE,,,Laguna Street,residential,,52.097,"LINESTRING (-122.4259102 37.7746045, -122.4258968 37.7745377, -122.4258247 37.7741794, -122.4258171 37.7741418)",,,,
65281164,65310804,0,1075427349,TRUE,3,,Oak Street,primary,30 mph,142.623,"LINESTRING (-122.4259102 37.7746045, -122.4258202 37.7746159, -122.4243081 37.7748083)",,,,
65281218,267455477,0,24603573,TRUE,,,Octavia Boulevard,primary,30 mph,15.057,"LINESTRING (-122.4233255 37.7718656, -122.4233494 37.771902, -122.423385 37.7719585, -122.4234029 37.7719864)",,,,
65281218,1723738842,0,202317710,TRUE,3,,Market Street,primary,,84.755,"LINESTRING (-122.4233255 37.7718656, -122.423248 37.7719249, -122.4232091 37.7719562, -122.4230347 37.7720881, -122.4228078 37.7722632, -122.422636 37.7723984)",,,,
65281253,65337860,0,25337673,TRUE,3,,Mission Street,secondary,,28.636,"LINESTRING (-122.4198591 37.7703896, -122.4198383 37.7704586, -122.4198187 37.7705157, -122.4197717 37.7706376)",,,,
65281429,915248218,0,27772070,TRUE,2,,,motorway_link,,227.09,"LINESTRING (-122.3940468 37.7852059, -122.3938861 37.7851883, -122.3938118 37.7851825, -122.3936785 37.7851734, -122.3935354 37.7851667, -122.3933997 37.7851616, -122.3932815 37.7851589, -122.3931609 37.7851614, -122.393031 37.7851656, -122.3928879 37.7851739, -122.3927401 37.7851923, -122.3925768 37.785222, -122.3924251 37.7852546, -122.3922689 37.7852984, -122.3921078 37.785347, -122.3915626 37.7855619)",,,,
65281429,65317045,0,"[397104884, 406944763, 283537644]",FALSE,5,,Harrison Street,secondary,25 mph,140.516,"LINESTRING (-122.3940468 37.7852059, -122.3944148 37.7849225, -122.3946383 37.784741, -122.3947257 37.7846693, -122.3947796 37.7846263, -122.3950903 37.7843819, -122.395178 37.7843129)",,,,
