Time,South of Market,North Beach,Nob Hill,Mission Bay,Russian Hill,Tenderloin,Financial District/South Beach
2008-05-17 00:00:00,,,,,,,
2008-05-17 01:00:00,,,,,,,
2008-05-17 02:00:00,,,,,,,
2008-05-17 03:00:00,,,,,,,
2008-05-17 04:00:00,,,,,,,
2008-05-17 05:00:00,,,,,,,
2008-05-17 06:00:00,,,,,,,
2008-05-17 07:00:00,,,,,,,
2008-05-17 08:00:00,,,,,,,
2008-05-17 09:00:00,,,,,,,
2008-05-17 10:00:00,0.8049305841908609,0.8305649964467927,0.8299288912239122,0.7235530237368517,0.8662872033019849,0.903373630091916,0.8638619560324681
2008-05-17 11:00:00,0.7822499857231088,0.8883105854019848,0.8864580123582193,0.9983695186072041,0.8797743199786818,0.8337016531586403,0.8852214067174504
2008-05-17 12:00:00,0.8049551199152574,0.88175087347808,0.8706417703385353,0.875716890487247,0.8395824454566312,0.8483777517762172,0.841650151450635
2008-05-17 13:00:00,0.7884763776668179,0.8474285130499418,0.8545243988058607,0.8557266760177318,0.8567039616681115,0.8965089778293014,0.8319776967698912
2008-05-17 14:00:00,0.8504900743797648,0.8895266833080627,0.855545199583709,0.8057464695950373,0.8846723094290482,0.872468737320666,0.8462675959827238
2008-05-17 15:00:00,0.8531031403199202,0.8329049515279181,0.8367197993019575,0.9871841109099386,0.8532053213732419,0.8638054764611889,0.8146727005707493
2008-05-17 16:00:00,0.8426485363908612,0.7988848629146915,0.79088546030676,0.8698068371854535,0.8456221588525394,0.8471786885549093,0.7916081743073476
2008-05-17 17:00:00,0.8584599410542609,0.7709271766967425,0.7983599463766426,0.9911444297100448,0.8224571357796483,0.8277976343273187,0.7978921316224507
2008-05-17 18:00:00,0.8336522549653308,0.8112995360748182,0.7763540648956256,0.8076934805987058,0.815383486612471,0.7554366632012709,0.7822985588061316
2008-05-17 19:00:00,0.8296208330730315,0.8082927915664749,0.8001434242737377,0.9303286330569978,0.7906915003928741,0.7723325316262853,0.7951041686836712
2008-05-17 20:00:00,0.807290774492437,0.7387257292653292,0.7818976621233871,0.9573539313234836,0.7898550178400751,0.7669786915475535,0.7868892244125391
2008-05-17 21:00:00,0.8139822591267881,0.7581288600472783,0.8047488650451452,0.8370414450611141,0.7766003900096825,0.7810309839065566,0.7702756499030754
2008-05-17 22:00:00,0.8039401217132416,0.7615948164528008,0.7855847272984364,0.8191833506113642,0.7055312702008898,0.7883871296050261,0.7759486268663367
2008-05-17 23:00:00,0.8196010795261038,0.727182652004972,0.7919667893540037,0.7248320331903044,0.7332393542872939,0.7797889371288909,0.7817084845471028
2008-05-18 00:00:00,0.786590782519802,0.7685166336049525,0.8038674519348241,0.6849611154614984,0.7408169548855469,0.7809017732077732,0.7766188573407629
2008-05-18 01:00:00,0.8297160009469208,0.759342439932193,0.7908221360907068,0.7690121607356644,0.7372177986428659,0.762002656454205,0.8037541512495434
2008-05-18 02:00:00,0.8262689288176066,0.7390705675146254,0.793186467309664,0.7770284685421519,0.7598648225821317,0.7368495404016967,0.7906337975632063
2008-05-18 03:00:00,0.8343366119880744,0.7890937619327401,0.7984875339303498,0.8319820420271652,0.7900985010325767,0.7899936067435456,0.8025664367351475
2008-05-18 04:00:00,0.8396397477404766,0.8167434273774751,0.7915416132591508,0.7195188406321519,0.8131068658950849,0.8212736487684695,0.7946132542793357
2008-05-18 05:00:00,0.8428119585386407,0.7787093171299664,0.8033968531865249,0.8542645010141211,0.8352292536536143,0.7758221985763921,0.8251711877221317
2008-05-18 06:00:00,0.783609146980188,0.8275043460591331,0.8226990456472928,1.0626021368769092,0.814224168279813,0.8085913818557148,0.8446130714527074
2008-05-18 07:00:00,0.8430581692300184,0.7920263932875881,0.8394369157400371,0.8677843861689556,0.8286316066660971,0.8394355867531945,0.8503520249712756
2008-05-18 08:00:00,0.8295404777180013,0.7789558013534639,0.8786799499539201,0.8344461816078556,0.9055807750023546,0.84340646446746,0.8564622276092703
2008-05-18 09:00:00,0.8359769073612103,0.8266642419261481,0.8991698495134367,0.8503499574746878,0.9042241177175019,0.85132260114966,0.8945674552490619
2008-05-18 10:00:00,0.816557452404494,0.8867858565837108,0.8673274491767179,1.060630775903011,0.8253049496288145,0.8872788994828299,0.8738158341672153
2008-05-18 11:00:00,0.8142785441323285,0.7849220475789728,0.82664383935052,0.7922143966306854,0.9656530455543951,0.8682510847477395,0.7876320981421377
2008-05-18 12:00:00,0.853024163894314,0.9238262802256232,0.8770931988002606,0.775756445009895,0.98439197092493,0.925691507569251,0.800146826214213
2008-05-18 13:00:00,0.8153758456330595,0.8775725041381972,0.9015827465948759,0.733501965585885,0.8508383677099616,0.8690436148366032,0.8386797244449306
2008-05-18 14:00:00,0.8112758892626958,0.8732687436311424,0.9086679830609311,0.8097241026943067,0.9157627727534883,0.8979446185615457,0.7791812506511088
2008-05-18 15:00:00,0.7313755050179084,0.8928858080131921,0.9026010104018912,0.9393545662466684,0.8879419092518753,0.831528798815459,0.7636286810963286
2008-05-18 16:00:00,0.6680703741812877,0.8696490535501226,0.8739868027554428,0.5978824848977485,0.8307726509961524,0.7633557137724365,0.7091831775004197
2008-05-18 17:00:00,0.6001427128516134,0.809970592519579,0.9034382063706904,0.7426669240529682,0.8311423770963956,0.7703261161951687,0.7258917371890012
2008-05-18 18:00:00,0.8498495754323305,0.7876186832304027,0.8067721562662548,0.9609665881646752,0.7658807452271397,0.7794255028242698,0.8207227306415652
