Time,Actual
2008-05-22 12:00:00,2.7276999061265594
2008-05-22 13:00:00,2.6332277863307656
2008-05-22 14:00:00,2.5332144879940275
2008-05-22 15:00:00,2.4106970717427245
2008-05-22 16:00:00,2.4719153796822773
2008-05-22 17:00:00,2.4985447438163364
2008-05-22 18:00:00,2.47753728799584
2008-05-22 19:00:00,2.494813450895651
2008-05-22 20:00:00,2.453659388703819
2008-05-22 21:00:00,2.467317961442746
2008-05-22 22:00:00,2.449482682442763
2008-05-22 23:00:00,2.415362123768443
2008-05-23 00:00:00,2.3774106821933207
2008-05-23 01:00:00,2.4289352352913327
2008-05-23 02:00:00,2.519032149306544
2008-05-23 03:00:00,2.5795792533530317
2008-05-23 04:00:00,2.6249350126868465
2008-05-23 05:00:00,2.6531184840021815
2008-05-23 06:00:00,2.6683211168042584
2008-05-23 07:00:00,2.720213276308076
2008-05-23 08:00:00,2.773914298813825
2008-05-23 09:00:00,2.7683695318925645
2008-05-23 10:00:00,2.7640032051894234
2008-05-23 11:00:00,2.7604561725409447
2008-05-23 12:00:00,2.7493090183495674
2008-05-23 13:00:00,2.672270777869624
2008-05-23 14:00:00,2.5689264393090805
2008-05-23 15:00:00,2.4244634977900037
2008-05-23 16:00:00,2.497059592492293
2008-05-23 17:00:00,2.4584652152706314
2008-05-23 18:00:00,2.458306631935975
2008-05-23 19:00:00,2.4771039321441766
2008-05-23 20:00:00,2.440471281973979
2008-05-23 21:00:00,2.4149581542301854
2008-05-23 22:00:00,2.385791521687809
2008-05-23 23:00:00,2.371450579017472
2008-05-24 00:00:00,2.383826961261433
2008-05-24 01:00:00,2.4216418776566657
2008-05-24 02:00:00,2.5166684948603097
2008-05-24 03:00:00,2.566226204511801
2008-05-24 04:00:00,2.5962355261923173
2008-05-24 05:00:00,2.575782107786633
2008-05-24 06:00:00,2.5912831408730495
2008-05-24 07:00:00,2.6913818237533356
2008-05-24 08:00:00,2.6902318464177357
2008-05-24 09:00:00,2.7368637233977915
2008-05-24 10:00:00,2.769454061346099
2008-05-24 11:00:00,2.7897114213125844
2008-05-24 12:00:00,2.776590584824657
2008-05-24 13:00:00,2.740550302483552
2008-05-24 14:00:00,2.6406506933678746
2008-05-24 15:00:00,2.5545771677249447
2008-05-24 16:00:00,2.5682766691220644
2008-05-24 17:00:00,2.448975094789004
2008-05-24 18:00:00,2.500484215067857
2008-05-24 19:00:00,2.4908010937715317
2008-05-24 20:00:00,2.4842740317633147
2008-05-24 21:00:00,2.4284463416385766
2008-05-24 22:00:00,2.4332205521820653
2008-05-24 23:00:00,2.4704033714972766
2008-05-25 00:00:00,2.473746042795534
2008-05-25 01:00:00,2.447149428438257
2008-05-25 02:00:00,2.493111709188363
2008-05-25 03:00:00,2.5455766307207273
2008-05-25 04:00:00,2.5767076992989795
2008-05-25 05:00:00,2.594831278365273
2008-05-25 06:00:00,2.6147288894559786
2008-05-25 07:00:00,2.6500829232140837
2008-05-25 08:00:00,2.7327385589391153
2008-05-25 09:00:00,2.7413988577251573
2008-05-25 10:00:00,2.757864048610157
2008-05-25 11:00:00,2.7495937399774797
2008-05-25 12:00:00,2.762924283119057
2008-05-25 13:00:00,2.6745349058733825
2008-05-25 14:00:00,2.6427301621135424
2008-05-25 15:00:00,2.6305927431191054
2008-05-25 16:00:00,2.6597216851471526
2008-05-25 17:00:00,2.5466213444871593
2008-05-25 18:00:00,2.4357643555552126
2008-05-25 19:00:00,2.4458203459717502
2008-05-25 20:00:00,2.45361883000074
2008-05-25 21:00:00,2.4487361032323456
2008-05-25 22:00:00,2.4665292685422084
2008-05-25 23:00:00,2.4684275306984214
2008-05-26 00:00:00,2.44779755337257
2008-05-26 01:00:00,2.47939224248718
2008-05-26 02:00:00,2.551501703967673
2008-05-26 03:00:00,2.5665431873096227
2008-05-26 04:00:00,2.6148081729108257
2008-05-26 05:00:00,2.6715010089825815
2008-05-26 06:00:00,2.7121627866193054
2008-05-26 07:00:00,2.7792168257615857
2008-05-26 08:00:00,2.719097028213412
2008-05-26 09:00:00,2.7991481226537767
2008-05-26 10:00:00,2.8097977257021363
2008-05-26 11:00:00,2.802515983813433
2008-05-26 12:00:00,2.6578314992723993
2008-05-26 13:00:00,2.715825302677108
2008-05-26 14:00:00,2.69235649272964
2008-05-26 15:00:00,2.69077115953194
2008-05-26 16:00:00,2.678091934041115
2008-05-26 17:00:00,2.5801715875299833
2008-05-26 18:00:00,2.602633696267261
2008-05-26 19:00:00,2.5040010866039046
2008-05-26 20:00:00,2.533407895741933
2008-05-26 21:00:00,2.440709330199386
2008-05-26 22:00:00,2.502537986602512
2008-05-26 23:00:00,2.514979578982661
2008-05-27 00:00:00,2.5063095046166715
2008-05-27 01:00:00,2.5383031047021873
2008-05-27 02:00:00,2.6064259383329285
2008-05-27 03:00:00,2.597080795470866
2008-05-27 04:00:00,2.6602873095877664
2008-05-27 05:00:00,2.707989115069837
2008-05-27 06:00:00,2.7204465306138803
2008-05-27 07:00:00,2.7270334367769906
2008-05-27 08:00:00,2.7420961477954204
2008-05-27 09:00:00,2.8016642735087545
2008-05-27 10:00:00,2.6965291443953
2008-05-27 11:00:00,2.781031950841898
2008-05-27 12:00:00,2.6834746365937203
2008-05-27 13:00:00,2.6266039121802662
2008-05-27 14:00:00,2.5338701846221685
2008-05-27 15:00:00,2.4408615426346905
2008-05-27 16:00:00,2.4977025786093994
2008-05-27 17:00:00,2.5292825552484377
2008-05-27 18:00:00,2.4682049100732426
2008-05-27 19:00:00,2.4474695188489726
2008-05-27 20:00:00,2.485349846802574
2008-05-27 21:00:00,2.496009662097299
2008-05-27 22:00:00,2.4688837651477917
2008-05-27 23:00:00,2.5016257332102043
2008-05-28 00:00:00,2.4097382673713046
2008-05-28 01:00:00,2.4619221468045307
2008-05-28 02:00:00,2.5399648026906947
2008-05-28 03:00:00,2.640668901642271
2008-05-28 04:00:00,2.60432430393872
2008-05-28 05:00:00,2.6533114599827052
2008-05-28 06:00:00,2.679962811485477
2008-05-28 07:00:00,2.7652001372391704
2008-05-28 08:00:00,2.7681058660955125
2008-05-28 09:00:00,2.8153446227329058
2008-05-28 10:00:00,2.788739969700244
2008-05-28 11:00:00,2.7741879589996055
2008-05-28 12:00:00,2.702032967710185
2008-05-28 13:00:00,2.6361527349007092
2008-05-28 14:00:00,2.555696909477367
2008-05-28 15:00:00,2.455394427793889
2008-05-28 16:00:00,2.474729969322776
2008-05-28 17:00:00,2.484336046030791
2008-05-28 18:00:00,2.4612707106023013
2008-05-28 19:00:00,2.45618909027532
2008-05-28 20:00:00,2.5002874698046034
2008-05-28 21:00:00,2.485742842776272
2008-05-28 22:00:00,2.4781851376491932
2008-05-28 23:00:00,2.4621736805077634
2008-05-29 00:00:00,2.404136154908927
2008-05-29 01:00:00,2.41482724032762
2008-05-29 02:00:00,2.5285669963252144
2008-05-29 03:00:00,2.586693042334083
2008-05-29 04:00:00,2.6166084915998598
2008-05-29 05:00:00,2.637002341289718
2008-05-29 06:00:00,2.6728784356248623
2008-05-29 07:00:00,2.6966279479170034
2008-05-29 08:00:00,2.689508295583796
2008-05-29 09:00:00,2.768424760426525
2008-05-29 10:00:00,2.7454081094286567
2008-05-29 11:00:00,2.7118323873142303
2008-05-29 12:00:00,2.709438523883307
2008-05-29 13:00:00,2.6319782635075373
2008-05-29 14:00:00,2.533124428762234
2008-05-29 15:00:00,2.401779882278679
2008-05-29 16:00:00,2.4676773369048233
2008-05-29 17:00:00,2.501230675950651
2008-05-29 18:00:00,2.525803920581506
2008-05-29 19:00:00,2.4548329913097
2008-05-29 20:00:00,2.4733161524914267
2008-05-29 21:00:00,2.4499099158555007
2008-05-29 22:00:00,2.4938776116381494
2008-05-29 23:00:00,2.419381742060228
2008-05-30 00:00:00,2.383743508707034
2008-05-30 01:00:00,2.4688881846318984
2008-05-30 02:00:00,2.5151883497449994
