LINK_ID,geometry
1220008300,"LINESTRING (127.05424691179824 37.481353598222505, 127.05466546238272 37.481659748322286, 127.055072710144 37.4819659021913, 127.05549126751274 37.48227204932849, 127.05590982829668 37.48257819496428, 127.05632839249591 37.48288433909862, 127.05674696011044 37.48319048173144, 127.05705240479435 37.48341558677464, 127.05713161859528 37.48350564935125, 127.05717689253765 37.48356869804721, 127.05742588334134 37.4838929403484, 127.05772015112696 37.48428023058468, 127.05800311530734 37.48466752561136, 127.05807102491401 37.484757593087195)"
1220012100,"LINESTRING (127.05836529241564 37.485135871574904, 127.05867087670455 37.48552315376733, 127.05896515023652 37.485901430706754, 127.05903306211619 37.48599149760885, 127.05922542072143 37.48617160296523, 127.0593272395628 37.486243632530055, 127.05942906573696 37.48632467208337, 127.05976842330347 37.48651371259247, 127.05977973740562 37.48652271694893, 127.0600738112225 37.48663969883501, 127.06028870103805 37.48671167001821, 127.06080896690962 37.4868916049914, 127.06132923527423 37.487071537665884, 127.0618381990984 37.48725147396026, 127.06235846493271 37.48742239201186, 127.06235846493271 37.48742239201186, 127.0626299246148 37.487530369369836, 127.06283355762118 37.48765640235091, 127.06284486471547 37.48765639633693, 127.06308248795246 37.48786350150687, 127.0632408864499 37.48798054784368, 127.06348981135588 37.48817863605423, 127.06365950305289 37.48827765559827, 127.06368212507698 37.48828665348456, 127.06396489699436 37.488394621659474, 127.06417979556204 37.48846658573596, 127.06470007514731 37.488637493428136, 127.06522035710046 37.48880839882198, 127.06574064931745 37.488988311989566, 127.06606864814361 37.48908723986309)"
1220013700,"LINESTRING (127.06661147098933 37.489168025746274, 127.06696203816185 37.48921287795265, 127.0671656023339 37.48924880270545, 127.06771973486796 37.48932957706334, 127.06785543931272 37.489347519352144, 127.06828516774718 37.489401332213944, 127.06883930260561 37.48948210131631, 127.06906548314939 37.48951800961321)"
1220015700,"LINESTRING (127.06959708852735 37.489688889080824, 127.07011739732131 37.489868782930415, 127.07030967423498 37.48992272910875, 127.07061511914713 37.4900757182085, 127.07110155330899 37.490300678323656, 127.07112417683396 37.490309674780356, 127.07155411078578 37.490570707318, 127.07158805057813 37.49058870690491, 127.071995389891 37.49086777165866, 127.07242535617011 37.491155831197396, 127.07278743605775 37.49139888063782)"
1220017300,"LINESTRING (127.07328513137561 37.491560754261556, 127.07380545311347 37.49173162172223, 127.07380545311347 37.49173162172223, 127.07433708495033 37.49190247976929, 127.07485741144849 37.49207334258188, 127.07485741144849 37.49207334258188, 127.07537774031397 37.4922442030953, 127.07589807154673 37.49241506130947, 127.07624873267864 37.49253196643046)"
1220018700,"LINESTRING (127.07676906788618 37.49270282079576, 127.07724415539381 37.49285568231633, 127.07728940546087 37.492873672861734, 127.07782105330563 37.493044515180145, 127.0782395866889 37.493179389787564, 127.07834139564025 37.49321536259746, 127.07886174034198 37.493386207715304, 127.07938208741078 37.493557050533646, 127.07957438997961 37.49361999164408)"
1220020400,"LINESTRING (127.08009474028886 37.49379083131302, 127.08061509296512 37.49396166868237, 127.08114674632613 37.4941234859242, 127.08166710369932 37.49429431864472, 127.08218746343947 37.494465149065526, 127.0827078255465 37.49463597718654, 127.08323949818745 37.49480679504061, 127.08375986505376 37.4949776185121, 127.08428023428687 37.49514843968368, 127.08480060588677 37.49531925855533, 127.08533228812286 37.495490066959405, 127.08562640599678 37.495579954802814, 127.08584116024477 37.49548969829876, 127.08584114993208 37.49548068824074, 127.08604422325024 37.49506607748105, 127.08625860246973 37.494651458089834, 127.08646166085573 37.49422783650012, 127.08666472736296 37.49381322459419, 127.08684524874933 37.49346169936657)"
1220008000,"LINESTRING (127.0755860241179 37.485729785040036, 127.07570995340413 37.485288211704244, 127.07573244863902 37.48517106622399, 127.07582257456812 37.48484664546361, 127.0759238878096 37.484405086350236, 127.07603650639751 37.483963519842355, 127.07608154980817 37.48378328916906, 127.07620567430654 37.48353993690331, 127.07621696247222 37.483521909453344, 127.07639761825659 37.48327852049479, 127.07651056312925 37.483161316307, 127.07661221965292 37.483062139499374, 127.07690597360846 37.482854716697496, 127.07691727073933 37.482845699258185, 127.07725628545033 37.48267428644739, 127.07741452772966 37.4826291324428, 127.07764057980643 37.48255690342868, 127.07794578498583 37.48249363187578, 127.07794578498583 37.48249363187578, 127.0785111006099 37.48249325757986, 127.07852240692227 37.482493250066355, 127.0790651858649 37.48256496878058, 127.07963058807029 37.48264567984025, 127.0801846851402 37.48272639586547, 127.0807387737024 37.48279809921103, 127.08129287308074 37.48287881003436, 127.08185828002823 37.482959510423775, 127.082412371897 37.48303120591401, 127.08296647478278 37.4831119088812, 127.0835205788558 37.48319260924722, 127.08385982169547 37.48323741937262)"
1220010100,"LINESTRING (127.08442523408345 37.4833181074665, 127.08497934123545 37.483398800984645, 127.08553343930318 37.48347048182508, 127.08608754876248 37.48355117014096, 127.08664165940866 37.483631855855556, 127.0872070777352 37.48371253062405, 127.08776119076686 37.483793211082954, 127.08831529437968 37.48386487886532, 127.088869409718 37.48394555412177, 127.08943483278304 37.48402621821875, 127.08998895050631 37.48410688821932, 127.09054306941599 37.48418755561846, 127.09109717857228 37.48425921034224, 127.09165129978796 37.484339872538676, 127.09176438769525 37.484357804924194, 127.09205840323996 37.484393616531264, 127.09221670664022 37.48440250316247, 127.09235239688284 37.484411407259394, 127.092782025294 37.484393050492805, 127.09334733258967 37.48437458504526, 127.09391262832347 37.48434710682017, 127.09447793498313 37.48432863596375, 127.09504324135865 37.48431016240288, 127.09504324135865 37.48431016240288, 127.09535981417898 37.48430089723619, 127.09559729827232 37.48433674564975, 127.09563121802739 37.48433671819975, 127.09591396327855 37.48439955957856, 127.0961401990738 37.48448046643927, 127.09625331137462 37.4845164146704, 127.09661536660506 37.48470533086908, 127.09662667324531 37.48470532162266, 127.09701146016525 37.48498431881647, 127.09704540352031 37.48500231110256, 127.09746414881444 37.485308309149474, 127.09789419254409 37.485605286253566, 127.09831293285737 37.485902271181686, 127.09873167648516 37.48619925460602, 127.0990146097099 37.48639723956157, 127.09917302533557 37.48648720747826, 127.09932012249136 37.486568174618064, 127.099648202685 37.486703049535045, 127.09965952159429 37.486712050065876, 127.10019115240401 37.48686477175205, 127.10072278537346 37.487017491038934, 127.10125442050261 37.487170207926454, 127.1017068841302 37.48730497044421)"
1220013300,"LINESTRING (127.10223853557002 37.48746669295613, 127.10277017695428 37.48761940300219, 127.10330183290499 37.48778112071401, 127.1038334786722 37.48793382596065, 127.10435383198514 37.48809554885993, 127.10488549470969 37.48825725942199, 127.10507779236714 37.48831114900151, 127.10541715972145 37.48841896758362, 127.1059375197994 37.48858068348418, 127.10646920214914 37.488751396958584, 127.10698956679144 37.488913108209324, 127.10752124096743 37.489074806870214, 127.10804162308821 37.48924552353303, 127.10857330187808 37.489407217443095, 127.10909368868946 37.48957792945497, 127.10934255589865 37.48964977997271)"
